Symbol	ID	Name	Synonyms	Chromosome	Category
CLEC11A	6320	C-type lectin domain containing 11A	CLECSF3|LSLCL|P47|SCGF	19	Cytokines
CMA1	1215	chymase 1	CYH|MCT1|chymase	14	Cytokines
CMTM1	113540	CKLF like MARVEL transmembrane domain containing 1	CKLFH|CKLFH1|CKLFSF1	16	Cytokines
CMTM2	146225	CKLF like MARVEL transmembrane domain containing 2	CKLFSF2	16	Cytokines
CMTM3	123920	CKLF like MARVEL transmembrane domain containing 3	BNAS2|CKLFSF3	16	Cytokines
CMTM4	146223	CKLF like MARVEL transmembrane domain containing 4	CKLFSF4	16	Cytokines
CMTM5	116173	CKLF like MARVEL transmembrane domain containing 5	CKLFSF5	14	Cytokines
CMTM6	54918	CKLF like MARVEL transmembrane domain containing 6	CKLFSF6|PRO2219	3	Cytokines
CMTM7	112616	CKLF like MARVEL transmembrane domain containing 7	CKLFSF7	3	Cytokines
CMTM8	152189	CKLF like MARVEL transmembrane domain containing 8	CKLFSF8|CKLFSF8-V2	3	Cytokines
CNTF	1270	ciliary neurotrophic factor	HCNTF	11	Cytokines
CORT	1325	cortistatin	CST-14|CST-17|CST-29	1	Cytokines
CRH	1392	corticotropin releasing hormone	CRF|CRH1	8	Cytokines
CSF1	1435	colony stimulating factor 1	CSF-1|MCSF	1	Cytokines
CSF2	1437	colony stimulating factor 2	CSF|GMCSF	5	Cytokines
CSF3	1440	colony stimulating factor 3	C17orf33|CSF3OS|GCSF	17	Cytokines
CSH1	1442	chorionic somatomammotropin hormone 1	CS-1|CSA|CSMT|GHB3|PL|hCS-1|hCS-A	17	Cytokines
CSH2	1443	chorionic somatomammotropin hormone 2	CS-2|CSB|GHB1|PL|hCS-B	17	Cytokines
CSHL1	1444	chorionic somatomammotropin hormone like 1	CS-5|CSHP1|CSL|GHB4|hCS-L	17	Cytokines
CSPG5	10675	chondroitin sulfate proteoglycan 5	NGC	3	Cytokines
CTF1	1489	cardiotrophin 1	CT-1|CT1	16	Cytokines
CCN2	1490	cellular communication network factor 2	CTGF|HCS24|IGFBP8|NOV2	6	Cytokines
CTSG	1511	cathepsin G	CATG|CG	14	Cytokines
CX3CL1	6376	C-X3-C motif chemokine ligand 1	ABCD-3|C3Xkine|CXC3|CXC3C|NTN|NTT|SCYD1|fractalkine|neurotactin	16	Cytokines
CXCL1	2919	C-X-C motif chemokine ligand 1	FSP|GRO1|GROa|MGSA|MGSA-a|NAP-3|SCYB1	4	Cytokines
CXCL10	3627	C-X-C motif chemokine ligand 10	C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1	4	Cytokines
CXCL11	6373	C-X-C motif chemokine ligand 11	H174|I-TAC|IP-9|IP9|SCYB11|SCYB9B|b-R1	4	Cytokines
CXCL12	6387	C-X-C motif chemokine ligand 12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	10	Cytokines
CXCL13	10563	C-X-C motif chemokine ligand 13	ANGIE|ANGIE2|BCA-1|BCA1|BLC|BLR1L|SCYB13	4	Cytokines
CXCL14	9547	C-X-C motif chemokine ligand 14	BMAC|BRAK|KEC|KS1|MIP-2g|MIP2G|NJAC|SCYB14	5	Cytokines
CXCL16	58191	C-X-C motif chemokine ligand 16	CXCLG16|SR-PSOX|SRPSOX	17	Cytokines
CXCL17	284340	C-X-C motif chemokine ligand 17	DMC|Dcip1|UNQ473|VCC-1|VCC1	19	Cytokines
CXCL2	2920	C-X-C motif chemokine ligand 2	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	4	Cytokines
CXCL3	2921	C-X-C motif chemokine ligand 3	CINC-2b|GRO3|GROg|MIP-2b|MIP2B|SCYB3	4	Cytokines
CXCL5	6374	C-X-C motif chemokine ligand 5	ENA-78|SCYB5	4	Cytokines
CXCL6	6372	C-X-C motif chemokine ligand 6	CKA-3|GCP-2|GCP2|SCYB6	4	Cytokines
CXCL9	4283	C-X-C motif chemokine ligand 9	CMK|Humig|MIG|SCYB9|crg-10	4	Cytokines
CCN1	3491	cellular communication network factor 1	CYR61|GIG1|IGFBP10	1	Cytokines
DEFA1	1667	defensin alpha 1	DEF1|DEFA2|HNP-1|HP-1|HP1|MRS	8	Cytokines
DEFA3	1668	defensin alpha 3	DEF3|HNP-3|HNP3|HP-3|HP3	8	Cytokines
DEFA5	1670	defensin alpha 5	DEF5|HD-5	8	Cytokines
DEFB1	1672	defensin beta 1	BD1|DEFB-1|DEFB101|HBD1	8	Cytokines
DEFB103B	55894	defensin beta 103B	BD-3|DEFB-3|DEFB103|DEFB3|HBD-3|HBD3|HBP-3|HBP3	8	Cytokines
DEFB104A	140596	defensin beta 104A	BD-4|DEFB-4|DEFB104|DEFB4|hBD-4	8	Cytokines
DEFB4A	1673	defensin beta 4A	BD-2|DEFB-2|DEFB102|DEFB2|DEFB4|HBD-2|SAP1	8	Cytokines
DKK1	22943	dickkopf WNT signaling pathway inhibitor 1	DKK-1|SK	10	Cytokines
EBI3	10148	Epstein-Barr virus induced 3	IL-27B|IL27B|IL35B	19	Cytokines
EDN1	1906	endothelin 1	ARCND3|ET1|HDLCQ7|PPET1|QME	6	Cytokines
EDN2	1907	endothelin 2	ET-2|ET2|PPET2	1	Cytokines
EDN3	1908	endothelin 3	ET-3|ET3|HSCR4|PPET3|WS4B	20	Cytokines
EGF	1950	epidermal growth factor	HOMG4|URG	4	Cytokines
EPGN	255324	epithelial mitogen	ALGV3072|EPG|PRO9904	4	Cytokines
EPO	2056	erythropoietin	DBAL|ECYT5|EP|MVCD2	7	Cytokines
EREG	2069	epiregulin	EPR|ER|Ep	4	Cytokines
ESM1	11082	endothelial cell specific molecule 1	endocan	5	Cytokines
FAM3B	54097	FAM3 metabolism regulating signaling molecule B	2-21|C21orf11|C21orf76|ORF9|PANDER|PRED44	21	Cytokines
FAM3C	10447	FAM3 metabolism regulating signaling molecule C	GS3786|ILEI	7	Cytokines
FAM3D	131177	FAM3 metabolism regulating signaling molecule D	EF7|OIT1	3	Cytokines
FASLG	356	Fas ligand	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	1	Cytokines
FGF1	2246	fibroblast growth factor 1	AFGF|ECGF|ECGF-beta|ECGFA|ECGFB|FGF-1|FGF-alpha|FGFA|GLIO703|HBGF-1|HBGF1	5	Cytokines
FGF10	2255	fibroblast growth factor 10	-	5	Cytokines
FGF11	2256	fibroblast growth factor 11	FGF-11|FHF-3|FHF3	17	Cytokines
FGF12	2257	fibroblast growth factor 12	EIEE47|FGF12B|FHF1	3	Cytokines
FGF13	2258	fibroblast growth factor 13	FGF-13|FGF2|FHF-2|FHF2|LINC00889	X	Cytokines
FGF14	2259	fibroblast growth factor 14	FGF-14|FHF-4|FHF4|SCA27	13	Cytokines
FGF16	8823	fibroblast growth factor 16	FGF-16|MF4	X	Cytokines
FGF17	8822	fibroblast growth factor 17	FGF-13|FGF-17|HH20	8	Cytokines
FGF18	8817	fibroblast growth factor 18	FGF-18|ZFGF5	5	Cytokines
FGF19	9965	fibroblast growth factor 19	-	11	Cytokines
FGF2	2247	fibroblast growth factor 2	BFGF|FGF-2|FGFB|HBGF-2	4	Cytokines
FGF20	26281	fibroblast growth factor 20	FGF-20|RHDA2	8	Cytokines
FGF21	26291	fibroblast growth factor 21	-	19	Cytokines
FGF22	27006	fibroblast growth factor 22	-	19	Cytokines
FGF23	8074	fibroblast growth factor 23	ADHR|FGFN|HFTC2|HPDR2|HYPF|PHPTC	12	Cytokines
FGF3	2248	fibroblast growth factor 3	HBGF-3|INT2	11	Cytokines
FGF4	2249	fibroblast growth factor 4	FGF-4|HBGF-4|HST|HST-1|HSTF-1|HSTF1|K-FGF|KFGF	11	Cytokines
FGF5	2250	fibroblast growth factor 5	HBGF-5|Smag-82|TCMGLY	4	Cytokines
FGF6	2251	fibroblast growth factor 6	HBGF-6|HST2	12	Cytokines
FGF7	2252	fibroblast growth factor 7	HBGF-7|KGF	15	Cytokines
FGF8	2253	fibroblast growth factor 8	AIGF|FGF-8|HBGF-8|HH6|KAL6	10	Cytokines
FGF9	2254	fibroblast growth factor 9	FGF-9|GAF|HBFG-9|HBGF-9|SYNS3	13	Cytokines
VEGFD	2277	vascular endothelial growth factor D	FIGF|VEGF-D	X	Cytokines
FIGNL2	401720	fidgetin like 2	-	12	Cytokines
FLT3LG	2323	fms related receptor tyrosine kinase 3 ligand	FL|FLG3L|FLT3L	19	Cytokines
FSHB	2488	follicle stimulating hormone subunit beta	HH24	11	Cytokines
GAL	51083	galanin and GMAP prepropeptide	ETL8|GAL-GMAP|GALN|GLNN|GMAP	11	Cytokines
GALP	85569	galanin like peptide	-	19	Cytokines
GAST	2520	gastrin	GAS	17	Cytokines
GCG	2641	glucagon	GLP-1|GLP1|GLP2|GRPP	2	Cytokines
GDF1	2657	growth differentiation factor 1	CERS1|CHTD6|DORV|DTGA3|LAG1|LASS1|RAI|UOG1	19	Cytokines
GDF10	2662	growth differentiation factor 10	BIP|BMP-3b|BMP3B	10	Cytokines
GDF11	10220	growth differentiation factor 11	BMP-11|BMP11	12	Cytokines
GDF15	9518	growth differentiation factor 15	GDF-15|MIC-1|MIC1|NAG-1|PDF|PLAB|PTGFB	19	Cytokines
GDF2	2658	growth differentiation factor 2	BMP-9|BMP9|HHT5	10	Cytokines
GDF3	9573	growth differentiation factor 3	KFS3|MCOP7|MCOPCB6	12	Cytokines
GDF5	8200	growth differentiation factor 5	BDA1C|BMP-14|BMP14|CDMP1|DUPANS|LAP-4|LAP4|OS5|SYM1B|SYNS2	20	Cytokines
GDF6	392255	growth differentiation factor 6	BMP-13|BMP13|CDMP2|KFM|KFS|KFS1|KFSL|SGM1|SYNS4	8	Cytokines
GDF7	151449	growth differentiation factor 7	BMP12	2	Cytokines
GDF9	2661	growth differentiation factor 9	POF14	5	Cytokines
GDNF	2668	glial cell derived neurotrophic factor	ATF|ATF1|ATF2|HFB1-GDNF|HSCR3	5	Cytokines
GH1	2688	growth hormone 1	GH|GH-N|GHB5|GHN|IGHD1A|IGHD1B|IGHD2|hGH-N	17	Cytokines
GH2	2689	growth hormone 2	GH-V|GHB2|GHL|GHV|hGH-V	17	Cytokines
GHRH	2691	growth hormone releasing hormone	GHRF|GRF|INN	20	Cytokines
GHRL	51738	ghrelin and obestatin prepropeptide	MTLRP	3	Cytokines
GIP	2695	gastric inhibitory polypeptide	-	17	Cytokines
GKN1	56287	gastrokine 1	AMP18|BRICD1|CA11|FOV|foveolin	2	Cytokines
GMFB	2764	glia maturation factor beta	GMF	14	Cytokines
GMFG	9535	glia maturation factor gamma	GMF-GAMMA	19	Cytokines
GNRH1	2796	gonadotropin releasing hormone 1	GNRH|GRH|LHRH|LNRH	8	Cytokines
GNRH2	2797	gonadotropin releasing hormone 2	GnRH-II|LH-RHII	20	Cytokines
GPHA2	170589	glycoprotein hormone subunit alpha 2	A2|GPA2|ZSIG51	11	Cytokines
GPHB5	122876	glycoprotein hormone subunit beta 5	B5|GPB5|ZLUT1	14	Cytokines
GPI	2821	glucose-6-phosphate isomerase	AMF|GNPI|NLK|PGI|PHI|SA-36|SA36	19	Cytokines
GREM1	26585	"gremlin 1, DAN family BMP antagonist"	C15DUPq|CKTSF1B1|CRAC1|CRCS4|DAND2|DRM|DUP15q|GREMLIN|HMPS|HMPS1|IHG-2|MPSH|PIG2	15	Cytokines
GREM2	64388	"gremlin 2, DAN family BMP antagonist"	CKTSF1B2|DAND3|PRDC|STHAG9	1	Cytokines
GRN	2896	granulin precursor	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	17	Cytokines
GRP	2922	gastrin releasing peptide	BN|GRP-10|preproGRP|proGRP	18	Cytokines
GUCA2A	2980	guanylate cyclase activator 2A	GCAP-I|GUCA2|STARA	1	Cytokines
HAMP	57817	hepcidin antimicrobial peptide	HEPC|HFE2B|LEAP1|PLTR	19	Cytokines
HBEGF	1839	heparin binding EGF like growth factor	DTR|DTS|DTSF|HEGFL	5	Cytokines
HDGF	3068	heparin binding growth factor	HMG1L2	1	Cytokines
HDGFL3	50810	HDGF like 3	CGI-142|HDGF-2|HDGF2|HDGFRP3|HRP-3	15	Cytokines
HGF	3082	hepatocyte growth factor	DFNB39|F-TCF|HGFB|HPTA|SF	7	Cytokines
HTN3	3347	histatin 3	HIS2|HTN2|HTN5|PB	4	Cytokines
IAPP	3375	islet amyloid polypeptide	DAP|IAP	12	Cytokines
IFNA1	3439	interferon alpha 1	IFL|IFN|IFN-ALPHA|IFN-alphaD|IFNA13|IFNA@|leIF D	9	Cytokines
IFNA10	3446	interferon alpha 10	IFN-alphaC	9	Cytokines
IFNA13	3447	interferon alpha 13	-	9	Cytokines
IFNA14	3448	interferon alpha 14	IFN-alphaH|LEIF2H	9	Cytokines
IFNA16	3449	interferon alpha 16	IFN-alpha-16|IFN-alphaO	9	Cytokines
IFNA17	3451	interferon alpha 17	IFN-alphaI|IFNA|INFA|LEIF2C1	9	Cytokines
IFNA2	3440	interferon alpha 2	IFN-alpha-2|IFN-alphaA|IFNA|IFNA2B|leIF A	9	Cytokines
IFNA21	3452	interferon alpha 21	IFN-alphaI|LeIF F|leIF-F	9	Cytokines
IFNA4	3441	interferon alpha 4	IFN-alpha4a|INFA4	9	Cytokines
IFNA5	3442	interferon alpha 5	IFN-alpha-5|IFN-alphaG|INA5|INFA5|leIF G	9	Cytokines
IFNA6	3443	interferon alpha 6	IFN-alphaK	9	Cytokines
IFNA7	3444	interferon alpha 7	IFN-alphaJ|IFNA-J	9	Cytokines
IFNA8	3445	interferon alpha 8	IFN-alphaB	9	Cytokines
IFNB1	3456	interferon beta 1	IFB|IFF|IFN-beta|IFNB	9	Cytokines
IFNE	338376	interferon epsilon	IFN-E|IFNE1|IFNT1|INFE1|PRO655	9	Cytokines
IFNG	3458	interferon gamma	IFG|IFI	12	Cytokines
IFNK	56832	interferon kappa	IFNT1|INFE1	9	Cytokines
IFNW1	3467	interferon omega 1	-	9	Cytokines
IGF1	3479	insulin like growth factor 1	IGF|IGF-I|IGFI|MGF	12	Cytokines
IGF2	3481	insulin like growth factor 2	C11orf43|GRDF|IGF-II|PP9974	11	Cytokines
IL10	3586	interleukin 10	CSIF|GVHDS|IL-10|IL10A|TGIF	1	Cytokines
IL11	3589	interleukin 11	AGIF|IL-11	19	Cytokines
IL12A	3592	interleukin 12A	CLMF|IL-12A|NFSK|NKSF1|P35	3	Cytokines
IL12B	3593	interleukin 12B	CLMF|CLMF2|IL-12B|IMD28|IMD29|NKSF|NKSF2	5	Cytokines
IL13	3596	interleukin 13	IL-13|P600	5	Cytokines
IL15	3600	interleukin 15	IL-15	4	Cytokines
IL16	3603	interleukin 16	LCF|NIL16|PRIL16|prIL-16	15	Cytokines
IL17A	3605	interleukin 17A	CTLA-8|CTLA8|IL-17|IL-17A|IL17	6	Cytokines
IL17B	27190	interleukin 17B	IL-17B|IL-20|NIRF|ZCYTO7	5	Cytokines
IL17C	27189	interleukin 17C	CX2|IL-17C	16	Cytokines
IL17D	53342	interleukin 17D	IL-17D	13	Cytokines
IL17F	112744	interleukin 17F	CANDF6|IL-17F|ML-1|ML1	6	Cytokines
IL18	3606	interleukin 18	IGIF|IL-18|IL-1g|IL1F4	11	Cytokines
IL19	29949	interleukin 19	IL-10C|MDA1|NG.1|ZMDA1	1	Cytokines
IL1A	3552	interleukin 1 alpha	IL-1 alpha|IL-1A|IL1|IL1-ALPHA|IL1F1	2	Cytokines
IL1B	3553	interleukin 1 beta	IL-1|IL1-BETA|IL1F2|IL1beta	2	Cytokines
IL1F10	84639	interleukin 1 family member 10	FIL1-theta|FKSG75|IL-1HY2|IL-38|IL1-theta|IL1HY2	2	Cytokines
IL36RN	26525	interleukin 36 receptor antagonist	FIL1|FIL1(DELTA)|FIL1D|IL-36Ra|IL1F5|IL1HY1|IL1L1|IL1RP3|IL36RA|PSORP|PSORS14	2	Cytokines
IL36A	27179	interleukin 36 alpha	FIL1|FIL1(EPSILON)|FIL1E|IL-1F6|IL1(EPSILON)|IL1F6	2	Cytokines
IL37	27178	interleukin 37	FIL1|FIL1(ZETA)|FIL1Z|IL-1F7|IL-1H|IL-1H4|IL-1RP1|IL-37|IL1F7|IL1H4|IL1RP1	2	Cytokines
IL36B	27177	interleukin 36 beta	FIL1|FIL1-(ETA)|FIL1H|FILI-(ETA)|IL-1F8|IL-1H2|IL1-ETA|IL1F8|IL1H2	2	Cytokines
IL36G	56300	interleukin 36 gamma	IL-1F9|IL-1H1|IL-1RP2|IL1E|IL1F9|IL1H1|IL1RP2	2	Cytokines
IL1RN	3557	interleukin 1 receptor antagonist	DIRA|ICIL-1RA|IL-1RN|IL-1ra|IL-1ra3|IL1F3|IL1RA|IRAP|MVCD4	2	Cytokines
IL2	3558	interleukin 2	IL-2|TCGF|lymphokine	4	Cytokines
IL20	50604	interleukin 20	IL-20|IL10D|ZCYTO10	1	Cytokines
IL21	59067	interleukin 21	CVID11|IL-21|Za11	4	Cytokines
IL22	50616	interleukin 22	IL-21|IL-22|IL-D110|IL-TIF|ILTIF|TIFIL-23|TIFa|zcyto18	12	Cytokines
IL23A	51561	interleukin 23 subunit alpha	IL-23|IL-23A|IL23P19|P19|SGRF	12	Cytokines
IL24	11009	interleukin 24	C49A|FISP|IL10B|MDA7|MOB5|ST16	1	Cytokines
IL25	64806	interleukin 25	IL17E	14	Cytokines
IL26	55801	interleukin 26	AK155|IL-26	12	Cytokines
IL27	246778	interleukin 27	IL-27|IL-27A|IL27A|IL27p28|IL30|p28	16	Cytokines
IFNL2	282616	interferon lambda 2	IL-28A|IL28A	19	Cytokines
IFNL3	282617	interferon lambda 3	IFN-lambda-3|IFN-lambda-4|IL-28B|IL-28C|IL28B|IL28C	19	Cytokines
IFNL1	282618	interferon lambda 1	IL-29|IL29	19	Cytokines
IL3	3562	interleukin 3	IL-3|MCGF|MULTI-CSF	5	Cytokines
IL31	386653	interleukin 31	IL-31	12	Cytokines
IL32	9235	interleukin 32	IL-32alpha|IL-32beta|IL-32delta|IL-32gamma|NK4|TAIF|TAIFa|TAIFb|TAIFc|TAIFd	16	Cytokines
IL33	90865	interleukin 33	C9orf26|DVS27|IL1F11|NF-HEV|NFEHEV	9	Cytokines
IL34	146433	interleukin 34	C16orf77|IL-34	16	Cytokines
IL4	3565	interleukin 4	BCGF-1|BCGF1|BSF-1|BSF1|IL-4	5	Cytokines
IL5	3567	interleukin 5	EDF|IL-5|TRF	5	Cytokines
IL6	3569	interleukin 6	BSF-2|BSF2|CDF|HGF|HSF|IFN-beta-2|IFNB2|IL-6	7	Cytokines
IL6ST	3572	interleukin 6 signal transducer	CD130|CDW130|GP130|HIES4|IL-6RB|sGP130	5	Cytokines
IL7	3574	interleukin 7	IL-7	8	Cytokines
CXCL8	3576	C-X-C motif chemokine ligand 8	GCP-1|GCP1|IL8|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1|SCYB8	4	Cytokines
IL9	3578	interleukin 9	HP40|IL-9|P40	5	Cytokines
INHA	3623	inhibin subunit alpha	-	2	Cytokines
INHBA	3624	inhibin subunit beta A	EDF|FRP	7	Cytokines
INHBB	3625	inhibin subunit beta B	-	2	Cytokines
INHBC	3626	inhibin subunit beta C	IHBC	12	Cytokines
INHBE	83729	inhibin subunit beta E	-	12	Cytokines
INS	3630	insulin	IDDM|IDDM1|IDDM2|ILPR|IRDN|MODY10|PNDM4	11	Cytokines
INS-IGF2	723961	INS-IGF2 readthrough	INSIGF	11	Cytokines
INSL3	3640	insulin like 3	RLF|RLNL|ley-I-L	19	Cytokines
INSL4	3641	insulin like 4	EPIL|PLACENTIN	9	Cytokines
INSL5	10022	insulin like 5	PRO182|UNQ156	1	Cytokines
INSL6	11172	insulin like 6	RIF1	9	Cytokines
JAG1	182	jagged canonical Notch ligand 1	AGS|AGS1|AHD|AWS|CD339|DCHE|HJ1|JAGL1	20	Cytokines
JAG2	3714	jagged canonical Notch ligand 2	HJ2|SER2	14	Cytokines
FGF7P6	387628	fibroblast growth factor 7 pseudogene 6	KGFLP1	9	Cytokines
FGF7P3	654466	fibroblast growth factor 7 pseudogene 3	KGFLP2	9	Cytokines
KITLG	4254	KIT ligand	DCUA|DFNA69|FPH2|FPHH|KL-1|Kitl|MGF|SCF|SF|SHEP7|SLF	12	Cytokines
KL	9365	klotho	HFTC3	13	Cytokines
LACRT	90070	lacritin	-	12	Cytokines
LECT2	3950	leukocyte cell derived chemotaxin 2	chm-II|chm2	5	Cytokines
LEFTY1	10637	left-right determination factor 1	LEFTB|LEFTYB	1	Cytokines
LEFTY2	7044	left-right determination factor 2	EBAF|LEFTA|LEFTYA|TGFB4	1	Cytokines
LEP	3952	leptin	LEPD|OB|OBS	7	Cytokines
LHB	3972	luteinizing hormone subunit beta	CGB4|HH23|LSH-B|LSH-beta	19	Cytokines
LIF	3976	LIF interleukin 6 family cytokine	CDF|DIA|HILDA|MLPLI	22	Cytokines
LRSAM1	90678	leucine rich repeat and sterile alpha motif containing 1	CMT2P|RIFLE|TAL	9	Cytokines
LTA	4049	lymphotoxin alpha	LT|TNFB|TNFSF1|TNLG1E	6	Cytokines
LTB	4050	lymphotoxin beta	TNFC|TNFSF3|TNLG1C|p33	6	Cytokines
LTBP1	4052	latent transforming growth factor beta binding protein 1	-	2	Cytokines
LTBP2	4053	latent transforming growth factor beta binding protein 2	C14orf141|GLC3D|LTBP3|MSPKA|MSTP031|WMS3	14	Cytokines
LTBP3	4054	latent transforming growth factor beta binding protein 3	DASS|GPHYSD3|LTBP-3|LTBP2|STHAG6|pp6425	11	Cytokines
LTBP4	8425	latent transforming growth factor beta binding protein 4	ARCL1C|LTBP-4|LTBP4L|LTBP4S	19	Cytokines
MDK	4192	midkine	ARAP|MK|NEGF2	11	Cytokines
MIA	8190	MIA SH3 domain containing	CD-RAP	19	Cytokines
MIF	4282	macrophage migration inhibitory factor	GIF|GLIF|MMIF	22	Cytokines
MLN	4295	motilin	-	6	Cytokines
MSTN	2660	myostatin	GDF8|MSLHP	2	Cytokines
NAMPT	10135	nicotinamide phosphoribosyltransferase	1110035O14Rik|PBEF|PBEF1|VF|VISFATIN	7	Cytokines
NDP	4693	norrin cystine knot growth factor NDP	EVR2|FEVR|ND	X	Cytokines
NENF	29937	neudesin neurotrophic factor	CIR2|SCIRP10|SPUF	1	Cytokines
NGF	4803	nerve growth factor	Beta-NGF|HSAN5|NGFB	1	Cytokines
NMB	4828	neuromedin B	-	15	Cytokines
NODAL	4838	nodal growth differentiation factor	HTX5	10	Cytokines
CCN3	4856	cellular communication network factor 3	IBP-9|IGFBP-9|IGFBP9|NOV|NOVh	8	Cytokines
NPFF	8620	neuropeptide FF-amide peptide precursor	FMRFAL	12	Cytokines
NPPA	4878	natriuretic peptide A	ANF|ANP|ATFB6|ATRST2|CDD|CDD-ANF|CDP|PND	1	Cytokines
NPPB	4879	natriuretic peptide B	BNP	1	Cytokines
NPPC	4880	natriuretic peptide C	CNP|CNP2	2	Cytokines
NPY	4852	neuropeptide Y	PYY4	7	Cytokines
NRG1	3084	neuregulin 1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	8	Cytokines
NRG2	9542	neuregulin 2	DON1|HRG2|NTAK	5	Cytokines
NRG3	10718	neuregulin 3	HRG3|pro-NRG3	10	Cytokines
NRG4	145957	neuregulin 4	HRG4	15	Cytokines
NRTN	4902	neurturin	NTN	19	Cytokines
NTF3	4908	neurotrophin 3	HDNF|NGF-2|NGF2|NT-3|NT3	12	Cytokines
NTF4	4909	neurotrophin 4	GLC10|GLC1O|NT-4|NT-4/5|NT-5|NT4|NT5|NTF5	19	Cytokines
NTS	4922	neurotensin	NMN-125|NN|NT|NT/N|NTS1	12	Cytokines
NUDT6	11162	nudix hydrolase 6	ASFGF2|FGF-AS|FGF2AS|GFG-1|GFG1	4	Cytokines
OGN	4969	osteoglycin	OG|OIF|SLRR3A	9	Cytokines
OSGIN1	29948	oxidative stress induced growth inhibitor 1	BDGI|OKL38	16	Cytokines
OSM	5008	oncostatin M	-	22	Cytokines
OSTN	344901	osteocrin	MUSCLIN	3	Cytokines
OXT	5020	oxytocin/neurophysin I prepropeptide	OT|OT-NPI|OXT-NPI	20	Cytokines
ENDOU	8909	"endonuclease, poly(U) specific"	P11|PP11|PRSS26	12	Cytokines
PDGFA	5154	platelet derived growth factor subunit A	PDGF-A|PDGF1	7	Cytokines
PDGFB	5155	platelet derived growth factor subunit B	IBGC5|PDGF-2|PDGF2|SIS|SSV|c-sis	22	Cytokines
PDGFC	56034	platelet derived growth factor C	FALLOTEIN|SCDGF	4	Cytokines
PDGFD	80310	platelet derived growth factor D	IEGF|MSTP036|SCDGF-B|SCDGFB	11	Cytokines
PDGFRA	5156	platelet derived growth factor receptor alpha	CD140A|PDGFR-2|PDGFR2	4	Cytokines
PDGFRB	5159	platelet derived growth factor receptor beta	CD140B|IBGC4|IMF1|JTK12|KOGS|PDGFR|PDGFR-1|PDGFR1|PENTT	5	Cytokines
PDGFRL	5157	platelet derived growth factor receptor like	PDGRL|PRLTS	8	Cytokines
PDYN	5173	prodynorphin	ADCA|PENKB|SCA23	20	Cytokines
PENK	5179	proenkephalin	PE|PENK-A	8	Cytokines
PF4	5196	platelet factor 4	CXCL4|PF-4|SCYB4	4	Cytokines
PF4V1	5197	platelet factor 4 variant 1	CXCL4L1|CXCL4V1|PF4-ALT|PF4A|SCYB4V1	4	Cytokines
PGF	5228	placental growth factor	D12S1900|PGFL|PIGF|PLGF|PlGF-2|SHGC-10760	14	Cytokines
PLAU	5328	"plasminogen activator, urokinase"	ATF|BDPLT5|QPD|UPA|URK|u-PA	10	Cytokines
PMCH	5367	pro-melanin concentrating hormone	MCH|ppMCH	12	Cytokines
PNOC	5368	prepronociceptin	N/OFQ|NOP|OFQ|PPNOC|ppN/OFQ	8	Cytokines
POMC	5443	proopiomelanocortin	ACTH|CLIP|LPH|MSH|NPP|OBAIRH|POC	2	Cytokines
PPBP	5473	pro-platelet basic protein	B-TG1|Beta-TG|CTAP-III|CTAP3|CTAPIII|CXCL7|LA-PF4|LDGF|MDGF|NAP-2|PBP|SCYB7|TC1|TC2|TGB|TGB1|THBGB|THBGB1	4	Cytokines
PPBPP1	728045	pro-platelet basic protein pseudogene 1	PPBPL1|TGB2	4	Cytokines
PPBPP2	10895	pro-platelet basic protein pseudogene 2	PPBPL2|SPBPBP	4	Cytokines
PPY	5539	pancreatic polypeptide	PNP|PP	17	Cytokines
PRL	5617	prolactin	GHA1	6	Cytokines
PRLH	51052	prolactin releasing hormone	PRH|PRRP	2	Cytokines
PROK1	84432	prokineticin 1	EGVEGF|PK1|PRK1	1	Cytokines
PROK2	60675	prokineticin 2	BV8|HH4|KAL4|MIT1|PK2	3	Cytokines
PSPN	5623	persephin	PSP	19	Cytokines
PTH	5741	parathyroid hormone	FIH1|PTH1	11	Cytokines
PTH2	113091	parathyroid hormone 2	TIP39	19	Cytokines
PTHLH	5744	parathyroid hormone like hormone	BDE2|HHM|PLP|PTHR|PTHRP	12	Cytokines
PTN	5764	pleiotrophin	HARP|HB-GAM|HBBM|HBGF-8|HBGF8|HBNF|HBNF-1|NEGF1|OSF-1	7	Cytokines
PYY	5697	peptide YY	PYY-I|PYY1	17	Cytokines
QRFP	347148	pyroglutamylated RFamide peptide	26RFa|P518	9	Cytokines
RABEP1	9135	"rabaptin, RAB GTPase binding effector protein 1"	RAB5EP|RABPT5	17	Cytokines
RABEP2	79874	"rabaptin, RAB GTPase binding effector protein 2"	FRA	16	Cytokines
REG1A	5967	regenerating family member 1 alpha	ICRF|P19|PSP|PSPS|PSPS1|PTP|REG	2	Cytokines
